Antwort ID;Datum Abgeschickt;Letzte Seite;Start-Sprache;Zufallsstartwert;Alter;Geschlecht;Bildungsabschluss;Wie wichtig sind Ihnen Umweltaspekte beim Kauf eines Produktes?;Wie oft kaufen Sie Produkte, die als umweltbewusst beworben werden?;Wie glaubwürdig finden Sie Aussagen zu Umweltfreundlichkeit auf Produktverpackungen?;Wie häufig kaufen Sie ein Produkt nur aufgrund der umweltfreundlichen Verpackung?;Wie würden Sie reagieren, wenn Sie herausfinden, dass ein Produkt, das Sie gekauft haben, Greenwashing betreibt?
15;01.01.80 00:00;2;de;1033798977;18-24;Weiblich;Abitur;Sehr wichtig;Oft;Glaubwürdig;Häufig;Ich würde das Produkt gar nicht mehr kaufen
45;01.01.80 00:00;2;de;653425928;18-24;Männlich;Abitur;Wichtig;Oft;Glaubwürdig;Häufig;Ich würde das Produkt gar nicht mehr kaufen
71;01.01.80 00:00;2;de;2083485211;55 oder älter;Männlich;Fachabitur;Neutral;Sehr oft;Neutral;Häufig;Ich würde meine Freunde und Familie darüber informieren
2;01.01.80 00:00;2;de;168638000;18-24;Weiblich;Abitur;Neutral;Oft;Neutral;Häufig;Ich würde das Produkt gar nicht mehr kaufen
44;01.01.80 00:00;2;de;324466819;18-24;Männlich;Abitur;Wichtig;Oft;Neutral;Häufig;Ich würde das Produkt eher nicht mehr kaufen
20;01.01.80 00:00;2;de;74890089;18-24;Weiblich;Abitur;Wichtig;Oft;Neutral;Häufig;Ich würde das Produkt gar nicht mehr kaufen
11;01.01.80 00:00;2;de;139105854;18-24;Weiblich;Fachabitur;Wichtig;Oft;Neutral;Häufig;Ich würde eine Bewertung schreiben
35;01.01.80 00:00;2;de;37679574;18-24;Weiblich;Fachabitur;Wichtig;Oft;Neutral;Häufig;Ich würde das Produkt gar nicht mehr kaufen
13;01.01.80 00:00;2;de;1339778455;18-24;Weiblich;Abitur;Wichtig;Manchmal;Neutral;Häufig;Ich würde meine Freunde und Familie darüber informieren
26;01.01.80 00:00;2;de;1732913408;18-24;Weiblich;Abitur;Wichtig;Manchmal;Neutral;Häufig;Ich würde das Produkt eher nicht mehr kaufen
46;01.01.80 00:00;2;de;1510848879;18-24;Männlich;Realschulabschluss;Sehr wichtig;Oft;Wenig glaubwürdig;Häufig;Ich würde das Produkt eher nicht mehr kaufen
73;01.01.80 00:00;2;de;219541599;18-24;Männlich;Abitur;Wichtig;Oft;Wenig glaubwürdig;Häufig;Ich würde das Produkt gar nicht mehr kaufen
30;01.01.80 00:00;2;de;808306726;18-24;Weiblich;Abitur;Wichtig;Oft;Wenig glaubwürdig;Häufig;Es würde mein Kaufverhalten nicht beeinflussen
34;01.01.80 00:00;2;de;2145169397;18-24;Weiblich;Abitur;Wichtig;Manchmal;Gar nicht glaubwürdig;Manchmal;Ich würde meine Freunde und Familie darüber informieren
72;01.01.80 00:00;2;de;839178040;18-24;Weiblich;Abitur;Wichtig;Selten;Glaubwürdig;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
33;01.01.80 00:00;2;de;813301238;18-24;Weiblich;Abitur;Sehr wichtig;Oft;Glaubwürdig;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
49;01.01.80 00:00;2;de;1155275001;35-44;Männlich;Bachelorabschluss;Sehr wichtig;Oft;Glaubwürdig;Manchmal;Ich würde eine Bewertung schreiben
16;01.01.80 00:00;2;de;1932740787;18-24;Männlich;Abitur;Wichtig;Oft;Glaubwürdig;Manchmal;Ich würde das Produkt gar nicht mehr kaufen
31;01.01.80 00:00;2;de;138919909;18-24;Weiblich;Abitur;Wichtig;Oft;Glaubwürdig;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
59;01.01.80 00:00;2;de;2073234053;18-24;Weiblich;Bachelorabschluss;Wichtig;Oft;Glaubwürdig;Manchmal;Ich würde das Produkt gar nicht mehr kaufen
65;01.01.80 00:00;2;de;134069111;45-54;Weiblich;Realschulabschluss;Neutral;Manchmal;Glaubwürdig;Manchmal;Ich würde das Produkt gar nicht mehr kaufen
66;01.01.80 00:00;2;de;1646525751;18-24;Männlich;Abitur;Wichtig;Manchmal;Glaubwürdig;Manchmal;Ich würde das Produkt gar nicht mehr kaufen
7;01.01.80 00:00;2;de;2073474052;18-24;Männlich;Abitur;Wichtig;Oft;Neutral;Manchmal;Ich würde das Produkt gar nicht mehr kaufen
8;01.01.80 00:00;2;de;1514067071;18-24;Männlich;Abitur;Wichtig;Oft;Neutral;Manchmal;Ich würde das Produkt gar nicht mehr kaufen
25;01.01.80 00:00;2;de;191619215;18-24;Männlich;Abitur;Neutral;Manchmal;Neutral;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
37;01.01.80 00:00;2;de;681832941;18-24;Weiblich;Abitur;Neutral;Manchmal;Neutral;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
4;01.01.80 00:00;2;de;813616646;25-34;Weiblich;Fachabitur;Neutral;Manchmal;Neutral;Manchmal;Ich würde das Produkt gar nicht mehr kaufen
5;01.01.80 00:00;2;de;450285394;18-24;Weiblich;Abitur;Wichtig;Manchmal;Neutral;Manchmal;Ich würde das Produkt gar nicht mehr kaufen
58;01.01.80 00:00;2;de;2127950419;18-24;Weiblich;Bachelorabschluss;Wichtig;Manchmal;Neutral;Manchmal;Ich würde meine Freunde und Familie darüber informieren
42;01.01.80 00:00;2;de;1770278863;55 oder älter;Männlich;Bachelorabschluss;Sehr wichtig;Sehr oft;Sehr glaubwürdig;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
43;01.01.80 00:00;2;de;312409021;18-24;Weiblich;Abitur;Wichtig;Oft;Wenig glaubwürdig;Manchmal;Ich würde meine Freunde und Familie darüber informieren
55;01.01.80 00:00;2;de;1481194711;18-24;Männlich;Bachelorabschluss;Wichtig;Oft;Wenig glaubwürdig;Manchmal;Es würde mein Kaufverhalten nicht beeinflussen
24;01.01.80 00:00;2;de;487917614;18-24;Männlich;Fachabitur;Wichtig;Oft;Wenig glaubwürdig;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
28;01.01.80 00:00;2;de;325289057;55 oder älter;Weiblich;Realschulabschluss;Wichtig;Oft;Wenig glaubwürdig;Manchmal;Ich würde meine Freunde und Familie darüber informieren
63;01.01.80 00:00;2;de;607842175;18-24;Männlich;Bachelorabschluss;Wenig wichtig;Manchmal;Wenig glaubwürdig;Manchmal;Es würde mein Kaufverhalten nicht beeinflussen
74;01.01.80 00:00;2;de;720720341;18-24;Weiblich;Abitur;Wichtig;Manchmal;Wenig glaubwürdig;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
57;01.01.80 00:00;2;de;1582376650;25-34;Weiblich;Realschulabschluss;Wichtig;Manchmal;Wenig glaubwürdig;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
62;01.01.80 00:00;2;de;460671369;45-54;Weiblich;Realschulabschluss;Wichtig;Manchmal;Wenig glaubwürdig;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
23;01.01.80 00:00;2;de;1803022226;18-24;Weiblich;Abitur;Wichtig;Oft;Glaubwürdig;Sehr häufig;Ich würde eine Bewertung schreiben
22;01.01.80 00:00;2;de;1718386834;18-24;Weiblich;Fachabitur;Neutral;Sehr oft;Wenig glaubwürdig;Sehr häufig;Ich würde meine Freunde und Familie darüber informieren
40;01.01.80 00:00;2;de;868460327;25-34;Männlich;Masterabschluss;Wichtig;Oft;Wenig glaubwürdig;Sehr häufig;Ich würde das Produkt gar nicht mehr kaufen
68;01.01.80 00:00;2;de;524590871;18-24;Männlich;Abitur;Gar nicht wichtig;Sehr selten;Gar nicht glaubwürdig;Sehr selten;Es würde mein Kaufverhalten nicht beeinflussen
32;01.01.80 00:00;2;de;2027388259;18-24;Weiblich;Bachelorabschluss;Neutral;Oft;Glaubwürdig;Sehr selten;Ich würde das Produkt eher nicht mehr kaufen
9;01.01.80 00:00;2;de;1145221627;18-24;Männlich;Abitur;Wenig wichtig;Selten;Neutral;Sehr selten;Ich würde das Produkt gar nicht mehr kaufen
6;01.01.80 00:00;2;de;1030571323;18-24;Weiblich;Abitur;Wenig wichtig;Selten;Neutral;Sehr selten;Es würde mein Kaufverhalten nicht beeinflussen
10;01.01.80 00:00;2;de;1858948264;18-24;Weiblich;Abitur;Wenig wichtig;Manchmal;Neutral;Sehr selten;Es würde mein Kaufverhalten nicht beeinflussen
51;01.01.80 00:00;2;de;445541338;18-24;Weiblich;Abitur;Wenig wichtig;Manchmal;Neutral;Sehr selten;Ich würde das Produkt gar nicht mehr kaufen
52;01.01.80 00:00;2;de;1873227711;18-24;Männlich;Fachabitur;Wenig wichtig;Manchmal;Neutral;Sehr selten;Ich würde das Produkt eher nicht mehr kaufen
39;01.01.80 00:00;2;de;562823548;18-24;Männlich;Abitur;Neutral;Selten;Wenig glaubwürdig;Sehr selten;Ich würde das Produkt eher nicht mehr kaufen
67;01.01.80 00:00;2;de;1657245804;18-24;Weiblich;Fachabitur;Neutral;Selten;Wenig glaubwürdig;Sehr selten;Ich würde meine Freunde und Familie darüber informieren
60;01.01.80 00:00;2;de;1959758016;45-54;Männlich;Realschulabschluss;Neutral;Selten;Wenig glaubwürdig;Sehr selten;Es würde mein Kaufverhalten nicht beeinflussen
53;01.01.80 00:00;2;de;1523097584;18-24;Männlich;Abitur;Wenig wichtig;Selten;Wenig glaubwürdig;Sehr selten;Ich würde das Produkt eher nicht mehr kaufen
69;01.01.80 00:00;2;de;157120539;18-24;Weiblich;Fachabitur;Wenig wichtig;Selten;Wenig glaubwürdig;Sehr selten;Ich würde das Produkt eher nicht mehr kaufen
41;01.01.80 00:00;2;de;1670522224;25-34;Männlich;Fachabitur;Neutral;Manchmal;Wenig glaubwürdig;Sehr selten;Ich würde meine Freunde und Familie darüber informieren
14;01.01.80 00:00;2;de;574011689;25-34;Männlich;Abitur;Wichtig;Oft;Gar nicht glaubwürdig;Selten;Es würde mein Kaufverhalten nicht beeinflussen
56;01.01.80 00:00;2;de;343408646;18-24;Weiblich;Abitur;Wichtig;Oft;Glaubwürdig;Selten;Ich würde das Produkt eher nicht mehr kaufen
29;01.01.80 00:00;2;de;1605246223;18-24;Weiblich;Abitur;Neutral;Manchmal;Glaubwürdig;Selten;Ich würde das Produkt eher nicht mehr kaufen
17;01.01.80 00:00;2;de;17183542;18-24;Weiblich;Abitur;Wenig wichtig;Manchmal;Glaubwürdig;Selten;Es würde mein Kaufverhalten nicht beeinflussen
64;01.01.80 00:00;2;de;360345363;55 oder älter;Männlich;Fachabitur;Wichtig;Oft;Neutral;Selten;Ich würde das Produkt eher nicht mehr kaufen
27;01.01.80 00:00;2;de;983482447;18-24;Männlich;Abitur;Wenig wichtig;Selten;Wenig glaubwürdig;Selten;Ich würde das Produkt eher nicht mehr kaufen
48;01.01.80 00:00;2;de;1778106681;18-24;Weiblich;Abitur;Wichtig;Selten;Wenig glaubwürdig;Selten;Ich würde das Produkt gar nicht mehr kaufen
61;01.01.80 00:00;2;de;1071912224;18-24;Männlich;Abitur;Wichtig;Oft;Wenig glaubwürdig;Selten;Ich würde meine Freunde und Familie darüber informieren
54;01.01.80 00:00;2;de;1853436901;18-24;Männlich;Abitur;Neutral;Manchmal;Wenig glaubwürdig;Selten;Ich würde das Produkt eher nicht mehr kaufen
12;01.01.80 00:00;2;de;85947247;18-24;Männlich;Abitur;Wenig wichtig;Manchmal;Wenig glaubwürdig;Selten;Es würde mein Kaufverhalten nicht beeinflussen
47;01.01.80 00:00;2;de;606635374;18-24;Männlich;Abitur;Wenig wichtig;Manchmal;Wenig glaubwürdig;Selten;Es würde mein Kaufverhalten nicht beeinflussen
36;01.01.80 00:00;2;de;268561880;18-24;Weiblich;Fachabitur;Wenig wichtig;Manchmal;Wenig glaubwürdig;Selten;Ich würde das Produkt eher nicht mehr kaufen
70;01.01.80 00:00;2;de;1829225561;18-24;Männlich;Abitur;Wichtig;Manchmal;Wenig glaubwürdig;Selten;Ich würde das Produkt gar nicht mehr kaufen
;;;;;;;;;;;;
;;;;;67;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;