id;age;sex;grade;frage_a;frage_b;frage_c;frage_d;frage_e
15;18-24;Weiblich;Abitur;Sehr wichtig;Oft;Glaubwürdig;Häufig;Ich würde das Produkt gar nicht mehr kaufen
45;18-24;Männlich;Abitur;Wichtig;Oft;Glaubwürdig;Häufig;Ich würde das Produkt gar nicht mehr kaufen
71;55 oder älter;Männlich;Fachabitur;Neutral;Sehr oft;Neutral;Häufig;Ich würde meine Freunde und Familie darüber informieren
2;18-24;Weiblich;Abitur;Neutral;Oft;Neutral;Häufig;Ich würde das Produkt gar nicht mehr kaufen
44;18-24;Männlich;Abitur;Wichtig;Oft;Neutral;Häufig;Ich würde das Produkt eher nicht mehr kaufen
20;18-24;Weiblich;Abitur;Wichtig;Oft;Neutral;Häufig;Ich würde das Produkt gar nicht mehr kaufen
11;18-24;Weiblich;Fachabitur;Wichtig;Oft;Neutral;Häufig;Ich würde eine Bewertung schreiben
35;18-24;Weiblich;Fachabitur;Wichtig;Oft;Neutral;Häufig;Ich würde das Produkt gar nicht mehr kaufen
13;18-24;Weiblich;Abitur;Wichtig;Manchmal;Neutral;Häufig;Ich würde meine Freunde und Familie darüber informieren
26;18-24;Weiblich;Abitur;Wichtig;Manchmal;Neutral;Häufig;Ich würde das Produkt eher nicht mehr kaufen
46;18-24;Männlich;Realschulabschluss;Sehr wichtig;Oft;Wenig glaubwürdig;Häufig;Ich würde das Produkt eher nicht mehr kaufen
73;18-24;Männlich;Abitur;Wichtig;Oft;Wenig glaubwürdig;Häufig;Ich würde das Produkt gar nicht mehr kaufen
30;18-24;Weiblich;Abitur;Wichtig;Oft;Wenig glaubwürdig;Häufig;Es würde mein Kaufverhalten nicht beeinflussen
34;18-24;Weiblich;Abitur;Wichtig;Manchmal;Gar nicht glaubwürdig;Manchmal;Ich würde meine Freunde und Familie darüber informieren
72;18-24;Weiblich;Abitur;Wichtig;Selten;Glaubwürdig;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
33;18-24;Weiblich;Abitur;Sehr wichtig;Oft;Glaubwürdig;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
49;35-44;Männlich;Bachelorabschluss;Sehr wichtig;Oft;Glaubwürdig;Manchmal;Ich würde eine Bewertung schreiben
16;18-24;Männlich;Abitur;Wichtig;Oft;Glaubwürdig;Manchmal;Ich würde das Produkt gar nicht mehr kaufen
31;18-24;Weiblich;Abitur;Wichtig;Oft;Glaubwürdig;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
59;18-24;Weiblich;Bachelorabschluss;Wichtig;Oft;Glaubwürdig;Manchmal;Ich würde das Produkt gar nicht mehr kaufen
65;45-54;Weiblich;Realschulabschluss;Neutral;Manchmal;Glaubwürdig;Manchmal;Ich würde das Produkt gar nicht mehr kaufen
66;18-24;Männlich;Abitur;Wichtig;Manchmal;Glaubwürdig;Manchmal;Ich würde das Produkt gar nicht mehr kaufen
7;18-24;Männlich;Abitur;Wichtig;Oft;Neutral;Manchmal;Ich würde das Produkt gar nicht mehr kaufen
8;18-24;Männlich;Abitur;Wichtig;Oft;Neutral;Manchmal;Ich würde das Produkt gar nicht mehr kaufen
25;18-24;Männlich;Abitur;Neutral;Manchmal;Neutral;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
37;18-24;Weiblich;Abitur;Neutral;Manchmal;Neutral;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
4;25-34;Weiblich;Fachabitur;Neutral;Manchmal;Neutral;Manchmal;Ich würde das Produkt gar nicht mehr kaufen
5;18-24;Weiblich;Abitur;Wichtig;Manchmal;Neutral;Manchmal;Ich würde das Produkt gar nicht mehr kaufen
58;18-24;Weiblich;Bachelorabschluss;Wichtig;Manchmal;Neutral;Manchmal;Ich würde meine Freunde und Familie darüber informieren
42;55 oder älter;Männlich;Bachelorabschluss;Sehr wichtig;Sehr oft;Sehr glaubwürdig;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
43;18-24;Weiblich;Abitur;Wichtig;Oft;Wenig glaubwürdig;Manchmal;Ich würde meine Freunde und Familie darüber informieren
55;18-24;Männlich;Bachelorabschluss;Wichtig;Oft;Wenig glaubwürdig;Manchmal;Es würde mein Kaufverhalten nicht beeinflussen
24;18-24;Männlich;Fachabitur;Wichtig;Oft;Wenig glaubwürdig;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
28;55 oder älter;Weiblich;Realschulabschluss;Wichtig;Oft;Wenig glaubwürdig;Manchmal;Ich würde meine Freunde und Familie darüber informieren
63;18-24;Männlich;Bachelorabschluss;Wenig wichtig;Manchmal;Wenig glaubwürdig;Manchmal;Es würde mein Kaufverhalten nicht beeinflussen
74;18-24;Weiblich;Abitur;Wichtig;Manchmal;Wenig glaubwürdig;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
57;25-34;Weiblich;Realschulabschluss;Wichtig;Manchmal;Wenig glaubwürdig;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
62;45-54;Weiblich;Realschulabschluss;Wichtig;Manchmal;Wenig glaubwürdig;Manchmal;Ich würde das Produkt eher nicht mehr kaufen
23;18-24;Weiblich;Abitur;Wichtig;Oft;Glaubwürdig;Sehr häufig;Ich würde eine Bewertung schreiben
22;18-24;Weiblich;Fachabitur;Neutral;Sehr oft;Wenig glaubwürdig;Sehr häufig;Ich würde meine Freunde und Familie darüber informieren
40;25-34;Männlich;Masterabschluss;Wichtig;Oft;Wenig glaubwürdig;Sehr häufig;Ich würde das Produkt gar nicht mehr kaufen
68;18-24;Männlich;Abitur;Gar nicht wichtig;Sehr selten;Gar nicht glaubwürdig;Sehr selten;Es würde mein Kaufverhalten nicht beeinflussen
32;18-24;Weiblich;Bachelorabschluss;Neutral;Oft;Glaubwürdig;Sehr selten;Ich würde das Produkt eher nicht mehr kaufen
9;18-24;Männlich;Abitur;Wenig wichtig;Selten;Neutral;Sehr selten;Ich würde das Produkt gar nicht mehr kaufen
6;18-24;Weiblich;Abitur;Wenig wichtig;Selten;Neutral;Sehr selten;Es würde mein Kaufverhalten nicht beeinflussen
10;18-24;Weiblich;Abitur;Wenig wichtig;Manchmal;Neutral;Sehr selten;Es würde mein Kaufverhalten nicht beeinflussen
51;18-24;Weiblich;Abitur;Wenig wichtig;Manchmal;Neutral;Sehr selten;Ich würde das Produkt gar nicht mehr kaufen
52;18-24;Männlich;Fachabitur;Wenig wichtig;Manchmal;Neutral;Sehr selten;Ich würde das Produkt eher nicht mehr kaufen
39;18-24;Männlich;Abitur;Neutral;Selten;Wenig glaubwürdig;Sehr selten;Ich würde das Produkt eher nicht mehr kaufen
67;18-24;Weiblich;Fachabitur;Neutral;Selten;Wenig glaubwürdig;Sehr selten;Ich würde meine Freunde und Familie darüber informieren
60;45-54;Männlich;Realschulabschluss;Neutral;Selten;Wenig glaubwürdig;Sehr selten;Es würde mein Kaufverhalten nicht beeinflussen
53;18-24;Männlich;Abitur;Wenig wichtig;Selten;Wenig glaubwürdig;Sehr selten;Ich würde das Produkt eher nicht mehr kaufen
69;18-24;Weiblich;Fachabitur;Wenig wichtig;Selten;Wenig glaubwürdig;Sehr selten;Ich würde das Produkt eher nicht mehr kaufen
41;25-34;Männlich;Fachabitur;Neutral;Manchmal;Wenig glaubwürdig;Sehr selten;Ich würde meine Freunde und Familie darüber informieren
14;25-34;Männlich;Abitur;Wichtig;Oft;Gar nicht glaubwürdig;Selten;Es würde mein Kaufverhalten nicht beeinflussen
56;18-24;Weiblich;Abitur;Wichtig;Oft;Glaubwürdig;Selten;Ich würde das Produkt eher nicht mehr kaufen
29;18-24;Weiblich;Abitur;Neutral;Manchmal;Glaubwürdig;Selten;Ich würde das Produkt eher nicht mehr kaufen
17;18-24;Weiblich;Abitur;Wenig wichtig;Manchmal;Glaubwürdig;Selten;Es würde mein Kaufverhalten nicht beeinflussen
64;55 oder älter;Männlich;Fachabitur;Wichtig;Oft;Neutral;Selten;Ich würde das Produkt eher nicht mehr kaufen
27;18-24;Männlich;Abitur;Wenig wichtig;Selten;Wenig glaubwürdig;Selten;Ich würde das Produkt eher nicht mehr kaufen
48;18-24;Weiblich;Abitur;Wichtig;Selten;Wenig glaubwürdig;Selten;Ich würde das Produkt gar nicht mehr kaufen
61;18-24;Männlich;Abitur;Wichtig;Oft;Wenig glaubwürdig;Selten;Ich würde meine Freunde und Familie darüber informieren
54;18-24;Männlich;Abitur;Neutral;Manchmal;Wenig glaubwürdig;Selten;Ich würde das Produkt eher nicht mehr kaufen
12;18-24;Männlich;Abitur;Wenig wichtig;Manchmal;Wenig glaubwürdig;Selten;Es würde mein Kaufverhalten nicht beeinflussen
47;18-24;Männlich;Abitur;Wenig wichtig;Manchmal;Wenig glaubwürdig;Selten;Es würde mein Kaufverhalten nicht beeinflussen
36;18-24;Weiblich;Fachabitur;Wenig wichtig;Manchmal;Wenig glaubwürdig;Selten;Ich würde das Produkt eher nicht mehr kaufen
70;18-24;Männlich;Abitur;Wichtig;Manchmal;Wenig glaubwürdig;Selten;Ich würde das Produkt gar nicht mehr kaufen
;;;;;;;;
;67;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;